date,description,amount,category
2025-10-01,Walmart 8104,128.80,Other
2025-10-29,Home Depot 9505,74.86,Transport
2025-10-27,Amazon 6320,232.68,Electronics
2025-10-08,Lyft 0558,49.76,
2025-10-07,Costco 1591,233.16,Other
2025-10-10,Costco 6736,113.91,
2025-10-11,Apple Store 1137,2500.00,Electronics
2025-10-06,Best Buy 7528,294.13,Dining
2025-10-26,Home Depot 2172,,
2025-10-26,Amazon.com order 97155,11.57,
2025-10-20,Home Depot 5968,147.92,
2025-10-12,Apple 3959,37.26,Gas
2025-10-24,Target 0785,177.18,
2025-10-24,Starbucks 2941,256.29,Other
2025-10-09,Best Buy 0499,24.76,Dining
2025-10-13,Apple Store 4451,2500.00,Electronics
2025-10-25,Target 2707,212.45,Health
2025-10-25,AMAZON 5139,210.45,Health
2025-10-08,AMAZON 2983,197.67,Health
2025-10-23,Amazon Marketplace 4322,180.06,Gas
2025-10-27,Target 9540,14.84,Health
2025-10-16,Walmart Online 5555,23.45,Shopping
2025-10-31,Uber 9823,92.77,
2025-10-13,Test Zero,0,Other
2025-10-15,Lyft 3961,33.53,Gas
